Results_Name,VSPAERO_History
Results_Timestamp,1786902353
Results_Date,8,16,2026
Results_Time,23,15,53
log10( MaxResidual ),1.357725258280999991e+00,4.568563629110000135e-01,6.366489353240000204e-01,-3.971883916639999956e-01,-1.214475397953000080e+00,-1.406080147656999957e+00,-1.489553146935000072e+00,-3.990727643199999675e-02,-1.435649984214999897e+00,-1.606912122311999980e+00,2.737757601310000233e-01,-7.699901601000000081e-03
Results_Name,VSPAERO_History
Results_Timestamp,1786902353
Results_Date,8,16,2026
Results_Time,23,15,53
Alpha,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,0.000000000000000000e+00,6.300726553000000375e-03,6.433299358999999829e-03,6.321399547999999660e-03,6.321286078999999863e-03,6.314958917999999657e-03,6.308935005000000304e-03,6.324546953999999992e-03,6.326125466999999586e-03,6.329960170999999677e-03,6.313867417000000419e-03,6.323244837000000125e-03
CDiw,0.000000000000000000e+00,5.122079980000000289e-03,5.084620247999999641e-03,5.032478558000000324e-03,5.028615997000000087e-03,5.036402040000000427e-03,5.040501182999999885e-03,5.043138572000000278e-03,5.042605508999999618e-03,5.042517617999999965e-03,5.041620297000000243e-03,5.042126087999999721e-03
CDo,7.533675234000000026e-03,8.754569389000000854e-03,8.755549167000000257e-03,8.755220815999999531e-03,8.757340395000000333e-03,8.756752144000000751e-03,8.756552004999999458e-03,8.756670754999999404e-03,8.756686035999999493e-03,8.756711488000000140e-03,8.756463154999999735e-03,8.756576674000000199e-03
CDtot,7.533675234000000026e-03,1.505529594200000036e-02,1.518884852600000009e-02,1.507662036399999919e-02,1.507862647299999977e-02,1.507171106099999998e-02,1.506548700999999976e-02,1.508121770799999983e-02,1.508281150300000081e-02,1.508667165899999982e-02,1.507033057199999929e-02,1.507982151000000076e-02
CDwtot,7.533675234000000026e-03,1.387664936799999985e-02,1.384016941500000077e-02,1.378769937399999986e-02,1.378595639200000042e-02,1.379315418300000075e-02,1.379705318799999934e-02,1.379980932699999968e-02,1.379929154499999998e-02,1.379922910600000011e-02,1.379808345200000085e-02,1.379870276200000079e-02
CFxi,0.000000000000000000e+00,6.300726553000000375e-03,6.433299358999999829e-03,6.321399547999999660e-03,6.321286078999999863e-03,6.314958917999999657e-03,6.308935005000000304e-03,6.324546953999999992e-03,6.326125466999999586e-03,6.329960170999999677e-03,6.313867417000000419e-03,6.323244837000000125e-03
CFxiw,0.000000000000000000e+00,5.122079980000000289e-03,5.084620247999999641e-03,5.032478558000000324e-03,5.028615997000000087e-03,5.036402040000000427e-03,5.040501182999999885e-03,5.043138572000000278e-03,5.042605508999999618e-03,5.042517617999999965e-03,5.041620297000000243e-03,5.042126087999999721e-03
CFxo,7.533675234000000026e-03,8.754569389000000854e-03,8.755549167000000257e-03,8.755220815999999531e-03,8.757340395000000333e-03,8.756752144000000751e-03,8.756552004999999458e-03,8.756670754999999404e-03,8.756686035999999493e-03,8.756711488000000140e-03,8.756463154999999735e-03,8.756576674000000199e-03
CFxtot,7.533675234000000026e-03,1.505529594200000036e-02,1.518884852600000009e-02,1.507662036399999919e-02,1.507862647299999977e-02,1.507171106099999998e-02,1.506548700999999976e-02,1.508121770799999983e-02,1.508281150300000081e-02,1.508667165899999982e-02,1.507033057199999929e-02,1.507982151000000076e-02
CFxwtot,7.533675234000000026e-03,1.387664936799999985e-02,1.384016941500000077e-02,1.378769937399999986e-02,1.378595639200000042e-02,1.379315418300000075e-02,1.379705318799999934e-02,1.379980932699999968e-02,1.379929154499999998e-02,1.379922910600000011e-02,1.379808345200000085e-02,1.379870276200000079e-02
CFyi,0.000000000000000000e+00,-1.830607679999999931e-04,4.769001119999999772e-04,4.204370560000000065e-04,4.338073359999999878e-04,4.501825429999999789e-04,4.510746359999999911e-04,4.496275089999999955e-04,4.478540779999999849e-04,4.489363269999999801e-04,4.477711579999999847e-04,4.476653919999999827e-04
CFyiw,0.000000000000000000e+00,-2.283098909999999894e-04,3.934789649999999956e-04,3.383648629999999819e-04,3.492780849999999981e-04,3.652583170000000125e-04,3.662993870000000231e-04,3.651268570000000047e-04,3.634904740000000078e-04,3.640477710000000018e-04,3.634761720000000184e-04,3.633167110000000075e-04
CFyo,0.000000000000000000e+00,-5.138999999999999728e-09,-5.210000000000000000e-09,-5.224999999999999638e-09,-5.308999999999999761e-09,-5.283000000000000058e-09,-5.273000000000000299e-09,-5.268999999999999899e-09,-5.267999999999999593e-09,-5.267999999999999593e-09,-5.267000000000000113e-09,-5.267000000000000113e-09
CFytot,0.000000000000000000e+00,-1.830659070000000043e-04,4.768949019999999786e-04,4.204318310000000137e-04,4.338020270000000054e-04,4.501772600000000010e-04,4.510693629999999732e-04,4.496222400000000159e-04,4.478488100000000013e-04,4.489310589999999965e-04,4.477658900000000010e-04,4.476601249999999951e-04
